x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.999999999999999334e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999998890e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999867e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000311e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000400e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000488e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000577e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000444e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000622e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000799e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000888e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000977e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000001155e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000001243e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001332e+00,0.000000000000000000e+00,0.000000000000000000e+00
